ID,Name,Category,Price,count In Stock,rating,Sold,Description
670a99b793162c228c23e224,Chảo,Đồ gia dụng,100000,4,4,96,"Chảo chống dính, chất liệu nhôm đúc, phủ lớp chống dính cao cấp, tay cầm cách nhiệt. Đáy chảo phẳng, truyền nhiệt đều, phù hợp cho mọi loại bếp. Kích thước 28cm, viền cao, màu đen."
670aacc15562a7670ee785be,Ô mai sấu giòn,Đồ ăn vặt,96000,350,4.7,0,"Ô mai sấu giòn, làm từ sấu tươi, ngâm muối, phủ đường, vị chua ngọt. Quả giòn, vỏ mịn, màu vàng óng, thơm nhẹ. Đóng gói tiện lợi, phù hợp làm quà tặng."
670a9a2b93162c228c23e24b,Áo thun regular,Quần áo,150000,194,3,6,"Áo thun regular fit, chất liệu cotton mềm mại, co giãn tốt, thấm hút mồ hôi. Cổ tròn, tay ngắn, đường may chắc chắn. Màu trơn, dáng suông, phù hợp cho mọi hoạt động thường ngày."
670a9ae693162c228c23e269,Quần baggy,Quần áo,150000,129,2.75,21,"Quần baggy, dáng rộng thoải mái, chất liệu kaki mềm mại, co giãn nhẹ. Lưng cao, cạp chun phía sau, có túi trước và sau tiện lợi. Màu trơn, ống quần xắn nhẹ, phù hợp cho phong cách trẻ trung và năng động."
670a9b3593162c228c23e276,iphone 15 pro,Thiết bị điện tử,30000000,268,2,32,"iPhone 15 Pro, thiết kế sang trọng với khung titan bền bỉ, màn hình Super Retina XDR 6.1 inch sắc nét. Trang bị vi xử lý A17 Pro mạnh mẽ, khả năng chụp ảnh 48MP với chế độ chụp đêm cải tiến và zoom quang 5x. Hỗ trợ kết nối USB-C, pin lâu dài và tính năng bảo mật Face ID nâng cao, mang đến trải nghiệm mượt mà và hiệu suất vượt trội."
670a9c5893162c228c23e28b,Iphone 15 promax,Thiết bị điện tử,20000000,985,4,15,"iPhone 15 Pro Max sở hữu thiết kế tinh tế với khung titan nhẹ và bền, màn hình Super Retina XDR 6.7 inch sống động. Được trang bị vi xử lý A17 Pro mạnh mẽ, điện thoại này cho hiệu suất vượt trội và khả năng xử lý đồ họa mượt mà. Camera chính 48MP cho phép chụp ảnh sắc nét, với chế độ chụp đêm và zoom quang 5x giúp nâng cao trải nghiệm chụp hình. Với cổng USB-C tiện lợi, pin lâu dài và tính năng bảo mật Face ID nâng cao, iPhone 15 Pro Max là lựa chọn lý tưởng cho những ai yêu thích công nghệ tiên tiến."
670a9cdd93162c228c23e2b8,Iphone 16 promax,Thiết bị điện tử,40000000,978,4,22,"iPhone 16 Pro Max mang đến trải nghiệm đột phá với thiết kế tinh xảo và khung titan siêu bền, nhẹ. Màn hình Super Retina XDR 6.7 inch hiển thị hình ảnh sắc nét và sống động, cùng với khả năng hỗ trợ ProMotion cho độ mượt mà tối ưu. Được trang bị vi xử lý A18 Pro mới, hiệu suất của iPhone 16 Pro Max đạt đến đỉnh cao, cho phép xử lý mọi tác vụ nhanh chóng và hiệu quả."
670a9d6093162c228c23e2f1,Apple Watch series 9,Thiết bị điện tử,7500000,779,4,221,"Apple Watch Series 9 là phiên bản smartwatch mới nhất từ Apple, nổi bật với thiết kế tinh tế và khả năng theo dõi sức khỏe toàn diện. Màn hình Retina luôn sáng và sắc nét, cho phép bạn dễ dàng theo dõi thông báo, tình trạng sức khỏe và hoạt động thể chất."
670a9dd693162c228c23e31d,Macbook m3 Pro 14inch,Thiết bị điện tử,49000000,998,5,2,"MacBook M3 Pro 14 inch là laptop cao cấp từ Apple, trang bị vi xử lý M3 Pro mạnh mẽ, mang lại hiệu suất ấn tượng cho mọi tác vụ. Với màn hình Liquid Retina XDR sắc nét, thiết kế mỏng nhẹ và bàn phím Magic Keyboard thoải mái, sản phẩm này không chỉ lý tưởng cho công việc mà còn phù hợp cho giải trí. Thời lượng pin lâu dài giúp bạn làm việc suốt cả ngày mà không lo hết năng lượng. MacBook M3 Pro 14 inch là lựa chọn hoàn hảo cho những ai đam mê công nghệ."
670a9e7193162c228c23e337,Macbook M1 Pro 14inch 2021,Thiết bị điện tử,30000000,998,4,2,"MacBook M1 Pro 14 inch 2021 là laptop cao cấp từ Apple, được trang bị vi xử lý M1 Pro mạnh mẽ, mang đến hiệu suất vượt trội cho mọi công việc, từ lập trình đến chỉnh sửa video. Màn hình Liquid Retina XDR sống động với độ phân giải cao và độ sáng cực đại, cung cấp trải nghiệm hình ảnh tuyệt vời. Thiết kế mỏng nhẹ cùng bàn phím Magic Keyboard thoải mái tạo điều kiện làm việc hiệu quả. Thời lượng pin ấn tượng cho phép bạn sử dụng suốt cả ngày mà không cần sạc lại, khiến MacBook M1 Pro 14 inch 2021 trở thành lựa chọn lý tưởng cho những ai tìm kiếm sự kết hợp hoàn hảo giữa hiệu suất và di động."
